timestep,reward
13,0.028
4542,-0.012
8978,0.07
13233,0.08
17445,-0.016
22231,-0.002
26842,-0.04
31260,-0.004
36107,0.024
40957,0.072
45702,0.004
50348,-0.02
55133,-0.024
59222,0.07
63577,0.06
67978,0.056
72381,0.006
76871,0.004
81363,0.038
86258,0.004
90590,0.046
95210,-0.06
100108,-0.048
104631,-0.046
109418,0.066
113909,-0.002
118630,-0.046
122904,0.004
127230,-0.03
132055,-0.026
137193,0.004
141766,0.0
146558,0.026
150770,-0.006
155136,0.028
159962,-0.004
164011,-0.066
169408,-0.064
173960,0.004
178721,-0.048
183343,-0.052
187887,0.028
192499,-0.032
196981,-0.014
201485,-0.002
206181,0.012
210666,-0.002
215580,0.086
220381,0.014
225699,0.024
230202,0.006
234556,-0.008
238849,0.032
243583,-0.002
248268,0.038
252705,-0.012
257876,0.01
262199,-0.002
266954,0.058
271641,0.006
276719,-0.048
281136,-0.034
285897,0.0
291080,0.026
295071,0.006
300036,0.006
304587,-0.064
309302,-0.054
314051,0.042
318561,-0.038
322931,0.01
327286,-0.028
331768,0.012
336437,0.0
341354,0.026
346296,-0.002
350980,-0.018
355173,-0.054
360189,-0.058
364621,-0.056
368913,-0.016
373425,0.024
377277,0.008
382627,-0.018
387427,-0.042
391513,-0.014
396335,-0.004
401164,-0.018
405967,-0.032
410622,0.018
415261,-0.038
419661,-0.034
425025,0.024
430040,-0.014
434640,0.02
439625,-0.03
444541,0.022
449327,-0.026
453632,0.008
458223,-0.056
