timestep,reward
31,-0.01
4901,-0.006
9110,0.06
13737,0.032
18065,0.038
22797,-0.052
27412,0.048
32234,0.024
36791,-0.008
41560,0.016
46261,0.024
51211,0.114
55936,-0.016
61174,0.074
66386,-0.008
70633,0.038
75826,0.038
80016,0.07
84218,0.064
89553,0.088
93964,0.004
98368,0.01
102360,-0.016
106500,0.04
112122,0.036
116923,-0.016
120912,-0.004
125561,-0.014
130142,0.042
134795,0.01
139834,-0.054
144485,0.014
148925,0.018
153317,0.048
157650,0.09
162633,0.02
166653,0.042
171231,0.028
175870,-0.006
180077,0.0
184997,0.01
189506,0.048
193769,0.044
198915,0.104
203733,0.002
208573,0.052
212986,0.086
217533,0.016
222285,0.052
227032,0.022
231521,0.006
236188,0.018
241204,-0.026
245974,-0.008
250698,0.038
254959,0.022
259145,0.012
264016,0.064
269162,0.016
274030,0.058
278689,0.03
282928,0.05
287241,0.046
292151,0.022
297382,0.038
302113,0.008
306833,0.022
310831,-0.002
315588,-0.004
319453,0.024
324471,0.034
