timestep,reward
40,-0.008
4380,0.0
8836,-0.042
13668,0.074
18735,0.04
24217,0.036
28430,0.034
32786,0.014
37774,0.078
43157,0.006
47641,0.094
52493,0.042
57080,0.01
61815,0.054
66850,0.104
71408,0.114
76108,0.068
80609,0.038
85466,0.006
89715,0.008
93837,0.026
98526,0.052
102697,-0.008
106791,-0.006
111169,-0.02
115916,0.02
120445,0.012
125171,0.014
129776,0.064
135089,0.036
139292,-0.012
143886,0.054
148388,0.012
153095,0.034
157227,0.002
162011,0.098
166821,0.05
170828,0.036
175194,0.06
179572,0.102
184655,0.062
190149,0.008
195574,-0.026
199853,0.028
204579,0.028
209204,0.036
213323,0.052
217547,0.028
222173,0.022
226759,-0.008
230960,0.038
235195,0.028
239947,0.058
244620,0.092
249552,0.028
254403,0.036
259022,0.0
263678,0.01
267671,0.014
273087,0.074
277874,0.03
282274,0.056
286602,0.004
291051,0.066
295970,0.064
300643,0.018
305430,0.016
309764,-0.044
314563,0.018
319327,0.0
324030,0.026
328853,0.012
333014,0.018
337726,0.018
342209,0.04
347184,0.002
351656,0.002
356930,0.094
361491,0.054
365827,0.092
370230,0.026
375328,-0.002
379734,0.088
383809,0.03
388487,0.042
393010,0.03
397666,-0.006
402464,0.03
407110,0.078
412370,0.058
417565,0.026
421777,0.084
426193,0.034
430786,0.054
435716,0.006
440244,0.034
445339,0.036
450272,0.006
455109,0.058
459216,-0.02
