timestep,reward
1,-0.2868
136,-0.642
271,-0.5751
402,-0.5857
537,-0.5762
681,-0.4895
824,-0.4341
958,-0.3816
1093,-0.2907
1221,-0.2197
1350,-0.1681
1487,-0.1619
1614,-0.1842
1756,-0.1569
1891,-0.1593
2029,-0.1682
2165,-0.165
2291,-0.1392
2424,-0.1624
2569,-0.1337
2696,-0.1322
2839,-0.1147
2977,-0.1214
3108,-0.1309
3242,-0.1062
3375,-0.0953
3506,-0.0862
3643,-0.093
3779,-0.1049
3915,-0.0892
4053,-0.0914
4183,-0.0876
4317,-0.0844
4463,-0.1008
4591,-0.0905
4730,-0.0875
4872,-0.0644
5019,-0.1
5153,-0.0868
5284,-0.0962
5416,-0.0897
5547,-0.0894
5684,-0.0798
5822,-0.0731
5960,-0.0908
6112,-0.0771
6255,-0.0821
6388,-0.0938
6531,-0.0665
6670,-0.0819
6812,-0.0662
6946,-0.0696
7079,-0.0969
7217,-0.0763
7356,-0.0806
7482,-0.085
7622,-0.0812
7756,-0.0764
7892,-0.0818
8033,-0.0815
8170,-0.0813
8310,-0.0682
8451,-0.0676
8580,-0.0766
8717,-0.0944
8859,-0.0874
